id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,4.65,2.12,1,43,43,Car,1,46.37,27.58,27.81,27.70,-1.00,-1.00,-1.00,0
2,4.75,1.82,1,44,44,Car,1,58.82,33.84,35.23,34.52,-1.00,-1.00,-1.00,0
3,11.52,2.50,1,50,50,Truck,1,44.11,22.58,22.60,22.59,-1.00,-1.00,-1.00,0
4,4.55,1.72,1,70,70,Car,2,96.60,34.62,35.52,35.08,-1.00,-1.00,-1.00,0
5,5.15,1.92,1,79,79,Car,2,96.46,30.74,31.26,30.99,50.53,1.64,-1.00,0
6,4.65,2.22,1,84,84,Car,1,107.37,32.38,32.49,32.43,43.17,1.33,-1.00,0
7,4.75,2.02,1,121,121,Car,1,141.36,28.96,29.83,29.49,64.69,2.17,42.41,0
8,4.65,1.92,1,130,130,Car,1,165.76,31.24,33.04,32.18,53.70,1.71,873.33,0
9,4.55,1.82,1,134,134,Car,2,183.10,33.38,35.83,34.45,82.16,2.46,-1.00,0
10,5.05,1.92,1,149,149,Car,2,178.83,29.52,30.89,30.24,37.17,1.23,-1.00,0
11,4.95,2.02,1,153,153,Car,2,205.85,32.91,35.90,33.89,16.98,0.51,-1.00,0
12,4.45,1.92,1,154,154,Car,2,196.33,31.66,33.37,32.13,9.82,0.30,5.40,0
13,2.93,1.72,1,171,171,Car,2,160.04,23.31,23.72,23.56,20.49,0.87,120.21,0
14,4.04,1.92,1,177,177,Car,1,153.36,21.78,21.85,21.80,73.86,3.38,-1.00,0
15,9.90,2.12,1,190,190,Car,1,212.12,26.52,29.05,28.09,60.87,2.29,-1.00,0
16,4.45,1.82,1,202,202,Car,1,174.38,21.51,21.82,21.71,17.01,0.78,533.68,0
17,4.35,1.82,1,207,207,Car,2,261.08,31.46,32.14,31.71,53.46,1.70,-1.00,0
18,4.95,2.02,1,206,206,Car,1,256.07,30.04,34.16,31.26,59.49,1.92,498.83,0
19,5.15,2.12,1,218,218,Car,2,300.06,34.24,35.41,34.59,84.60,2.45,58.00,0
20,4.85,2.02,1,224,224,Car,1,233.08,23.92,28.17,26.15,16.59,0.69,-1.00,0
21,4.04,1.72,1,225,225,Car,2,284.37,31.22,32.24,31.76,19.37,0.60,49.38,0
22,4.45,2.12,1,232,232,Car,1,197.42,20.90,21.71,21.38,18.05,0.83,580.52,0
23,3.84,1.82,1,234,234,Car,2,329.17,34.67,36.15,35.34,19.81,0.55,23.24,0
24,4.75,1.92,1,255,255,Car,2,373.33,36.48,37.04,36.77,25.75,0.69,15.33,0
